remark,n,pct_of_populated
nepa,1,0.0
Jayr,1,0.0
mohi,1,0.0
mpsY,1,0.0
7W3S,1,0.0
O75j,1,0.0
Water,1,0.0
pun,1,0.0
rame,1,0.0
Jignes,1,0.0
yY,1,0.0
74G,1,0.0
q9,1,0.0
8m6i,1,0.0
lz,1,0.0
f7b,1,0.0
Prof,1,0.0
gZ,1,0.0
SRa6,1,0.0
Oxvq,1,0.0
amg,1,0.0
P202791,1,0.0
65o8,1,0.0
8mx4M4,1,0.0
j80,1,0.0
advan,1,0.0
000G0,1,0.0
Nike,1,0.0
Haris,1,0.0
xQ,1,0.0
DE6Q,1,0.0
Dt,1,0.0
tlP,1,0.0
U4Wk,1,0.0
95qr,1,0.0
suja,1,0.0
Dron,1,0.0
f9bd,1,0.0
MMZBVU,1,0.0
kha,1,0.0
Aale,1,0.0
nDl,1,0.0
QW,1,0.0
a4Y5,1,0.0
4nFT,1,0.0
Fd,1,0.0
ige,1,0.0
2i6,1,0.0
Rizo,1,0.0
7023,1,0.0
punt,1,0.0
Namk,1,0.0
9Nw,1,0.0
6mo8,1,0.0
Vps,1,0.0
G4pE8,1,0.0
cray,1,0.0
eJ,1,0.0
fa5a8,1,0.0
Beka,1,0.0
MnHG,1,0.0
Repo,1,0.0
P20343,1,0.0
6wYa,1,0.0
6N,1,0.0
479,1,0.0
L9W,1,0.0
bmst,1,0.0
zZ7t6g,1,0.0
N2yV,1,0.0
0032,1,0.0
jJ,1,0.0
IJlX,1,0.0
lni,1,0.0
dMF,1,0.0
Trun,1,0.0
D ma,1,0.0
Suu,1,0.0
ysa,1,0.0
7Tpv,1,0.0
Beef,1,0.0
MM95,1,0.0
falu,1,0.0
anja,1,0.0
dxKh,1,0.0
5ccks,1,0.0
0006A,1,0.0
ivbqd,1,0.0
mayb,1,0.0
sei,1,0.0
8F,1,0.0
4t0t,1,0.0
9CDBR,1,0.0
16b4,1,0.0
Dhol,1,0.0
95ov,1,0.0
2WI,1,0.0
HG86,1,0.0
5umymj,1,0.0
Id,1,0.0
A4qY,1,0.0
c3clz,1,0.0
astr,1,0.0
Yoga,1,0.0
PROC G,1,0.0
panp,1,0.0
d3bp,1,0.0
hk9,1,0.0
bDx,1,0.0
Y5ZP,1,0.0
k9H6,1,0.0
iR,1,0.0
cj5,1,0.0
ISPAY,1,0.0
d69u,1,0.0
pmc0I,1,0.0
Drai,1,0.0
WTbH,1,0.0
a2f7,1,0.0
Spor,1,0.0
5vmP,1,0.0
4keb,1,0.0
Uw,1,0.0
SPR,1,0.0
6g3f,1,0.0
311,1,0.0
sunny,1,0.0
Azee,1,0.0
Hpn,1,0.0
WLPS417,1,0.0
Orth,1,0.0
T3PR,1,0.0
Ak0u,1,0.0
a6z,1,0.0
f9d47,1,0.0
LgPd,1,0.0
rfs,1,0.0
9e661,1,0.0
hZ,1,0.0
Oils,1,0.0
Dr F,1,0.0
0006U,1,0.0
KT,1,0.0
arhq,1,0.0
Tbbt,1,0.0
set c,1,0.0
kqws,1,0.0
coke,1,0.0
UW,1,0.0
Depos,1,0.0
Ply,1,0.0
undefin,1,0.0
dHa,1,0.0
5go55h,1,0.0
1V,1,0.0
CC48,1,0.0
Mom,1,0.0
izp,1,0.0
Biux,1,0.0
key rem,1,0.0
5000b,1,0.0
SR7223,1,0.0
arhg,1,0.0
4f2,1,0.0
nlk,1,0.0
VqY,1,0.0
Shal,1,0.0
Duka,1,0.0
hz,1,0.0
Urv,1,0.0
Dile,1,0.0
5qnff1,1,0.0
2511,1,0.0
byin,1,0.0
yasw,1,0.0
P20109,1,0.0
TTKN,1,0.0
yCcU,1,0.0
xiTy,1,0.0
Jamk,1,0.0
cati,1,0.0
tap,1,0.0
Rj35,1,0.0
IPO,1,0.0
000Y3,1,0.0
6fyyh,1,0.0
0oh,1,0.0
kut,1,0.0
NUmC,1,0.0
ua,1,0.0
14r,1,0.0
MMU3,1,0.0
Dudh,1,0.0
bpf,1,0.0
Advance,1,0.0
BBBG,1,0.0
ffi,1,0.0
LOIZ,1,0.0
Grow,1,0.0
Xqyl,1,0.0
P20501,1,0.0
apr,1,0.0
3Np,1,0.0
D4vc,1,0.0
cco,1,0.0
zip,1,0.0
SRd4,1,0.0
BeYB,1,0.0
Yash,1,0.0
1ce,1,0.0
6a1,1,0.0
11y1,1,0.0
amru,1,0.0
MMTI,1,0.0
9ff3c,1,0.0
sf v,1,0.0
pudi,1,0.0
cCMT,1,0.0
kz2,1,0.0
8go0e,1,0.0
GL,1,0.0
kTAR,1,0.0
hzhh,1,0.0
navr,1,0.0
SAM,1,0.0
a09e,1,0.0
YO,1,0.0
x72FI,1,0.0
6fp,1,0.0
NhON,1,0.0
Padd,1,0.0
Rafi,1,0.0
morga,1,0.0
balc,1,0.0
vasa,1,0.0
ej,1,0.0
pI,1,0.0
m po,1,0.0
UWvqn,1,0.0
P20228,1,0.0
Xil,1,0.0
ce7c,1,0.0
P20249,1,0.0
blow,1,0.0
OQi0,1,0.0
CIxe,1,0.0
Macc,1,0.0
61vo,1,0.0
9436,1,0.0
UO2,1,0.0
P1989,1,0.0
8h6wu,1,0.0
0xtR,1,0.0
rCOH,1,0.0
5bgca,1,0.0
68i8,1,0.0
crepe,1,0.0
Ezee,1,0.0
xzK,1,0.0
WLTF463,1,0.0
L4,1,0.0
403P,1,0.0
Jale,1,0.0
ZW,1,0.0
mamm,1,0.0
P2020205,1,0.0
sQ,1,0.0
chu,1,0.0
fb4qn,1,0.0
swee,1,0.0
Kiso,1,0.0
HaqN,1,0.0
PKJZ,1,0.0
dddd,1,0.0
mJ,1,0.0
BgWQ,1,0.0
P2078426,1,0.0
sI,1,0.0
Nxnb,1,0.0
odIM,1,0.0
Ky4,1,0.0
u92,1,0.0
Yuva,1,0.0
aalu,1,0.0
Piyu,1,0.0
ZO,1,0.0
chat,1,0.0
Hr53,1,0.0
MM9X,1,0.0
uLua,1,0.0
Ridd,1,0.0
5s91,1,0.0
Chol,1,0.0
shep,1,0.0
1750,1,0.0
CLfZ,1,0.0
Swpt,1,0.0
face,1,0.0
CPn5,1,0.0
Fara,1,0.0
13xe,1,0.0
rA,1,0.0
bagi,1,0.0
shef,1,0.0
gb,1,0.0
fe1,1,0.0
a8u,1,0.0
2ce,1,0.0
pQ,1,0.0
stra,1,0.0
Dunz,1,0.0
blk,1,0.0
cE6b,1,0.0
nR,1,0.0
Tre,1,0.0
repi,1,0.0
er,1,0.0
c7q,1,0.0
x1,1,0.0
wxcg,1,0.0
Kanh,1,0.0
94NP,1,0.0
PZrM,1,0.0
P204108,1,0.0
0YKJ,1,0.0
13hf,1,0.0
fly as,1,0.0
55uh,1,0.0
c11bej,1,0.0
6500,1,0.0
cyzn,1,0.0
Q7,1,0.0
iam,1,0.0
rol,1,0.0
fall,1,0.0
88Mm,1,0.0
10th,1,0.0
stb,1,0.0
uNXS,1,0.0
a3M8x6,1,0.0
qY,1,0.0
soup,1,0.0
Notary,1,0.0
mY06JW81,1,0.0
uy,1,0.0
002G,1,0.0
j09j,1,0.0
Hake,1,0.0
Til,1,0.0
a2X3D6c,1,0.0
v9,1,0.0
62oz,1,0.0
Zea,1,0.0
516,1,0.0
adha,1,0.0
P207936,1,0.0
w1,1,0.0
Sajjak,1,0.0
Narn,1,0.0
BAEV,1,0.0
Atta,1,0.0
ChY7,1,0.0
typ,1,0.0
Ct,1,0.0
Lalit,1,0.0
a85c8f1f,1,0.0
HT,1,0.0
9500,1,0.0
2V,1,0.0
TbiR,1,0.0
5tid,1,0.0
IIFL,1,0.0
VW,1,0.0
1212,1,0.0
SeAu,1,0.0
Alp,1,0.0
jmU,1,0.0
Cab t,1,0.0
nasi,1,0.0
P20292,1,0.0
03W,1,0.0
C191,1,0.0
151S,1,0.0
xGEk,1,0.0
prag,1,0.0
UqYt,1,0.0
4vje,1,0.0
OBJ,1,0.0
SU0N,1,0.0
aEd9,1,0.0
sharoff,1,0.0
25o7i,1,0.0
Krish,1,0.0
SR0a,1,0.0
ij,1,0.0
pu g,1,0.0
1N,1,0.0
cgv,1,0.0
6Foq,1,0.0
Hira,1,0.0
i92s,1,0.0
Eid f,1,0.0
cK72,1,0.0
Hang,1,0.0
c9zw,1,0.0
INS,1,0.0
Top,1,0.0
Tg,1,0.0
VXBx,1,0.0
4s4,1,0.0
Bara,1,0.0
fWfT,1,0.0
Amla,1,0.0
Kl,1,0.0
Shoba,1,0.0
a6a3,1,0.0
5rur,1,0.0
fafbe,1,0.0
CQDA,1,0.0
NVHd,1,0.0
3032,1,0.0
hZE,1,0.0
u1a8,1,0.0
wI,1,0.0
001HR,1,0.0
2mah,1,0.0
Mosi,1,0.0
W1J5,1,0.0
kati,1,0.0
sngt,1,0.0
limb,1,0.0
46dA,1,0.0
cutt,1,0.0
kZ,1,0.0
0001V,1,0.0
rfg,1,0.0
ZyKGGJ,1,0.0
P20752,1,0.0
Tund,1,0.0
Navin,1,0.0
xhdh,1,0.0
P205266,1,0.0
191,1,0.0
P205151,1,0.0
jsep,1,0.0
440,1,0.0
ball,1,0.0
hqxW9,1,0.0
Esses,1,0.0
E2PP,1,0.0
PEJS,1,0.0
Ht,1,0.0
swui,1,0.0
SR5c,1,0.0
jR,1,0.0
azp,1,0.0
1001,1,0.0
Hapu,1,0.0
P6sQ,1,0.0
DncZ,1,0.0
Bale,1,0.0
Oid270,1,0.0
Yw,1,0.0
zmE1,1,0.0
net,1,0.0
s1,1,0.0
Chud,1,0.0
0002F,1,0.0
WLPF4244,1,0.0
qame,1,0.0
116,1,0.0
Aqua,1,0.0
61hr,1,0.0
Pil,1,0.0
Oksm,1,0.0
SIbP,1,0.0
T s,1,0.0
Deisa,1,0.0
Urig,1,0.0
MPMVF,1,0.0
SR45,1,0.0
Zo,1,0.0
P203347,1,0.0
61xq,1,0.0
143x,1,0.0
usa,1,0.0
pVTu,1,0.0
zZj,1,0.0
pakk,1,0.0
uta9,1,0.0
JUN,1,0.0
DT66,1,0.0
Under,1,0.0
tho,1,0.0
Shau,1,0.0
SRe5,1,0.0
Gang,1,0.0
Qur,1,0.0
ZjTB,1,0.0
j6Rj,1,0.0
byy,1,0.0
Zeen,1,0.0
PSO,1,0.0
rznw,1,0.0
patw,1,0.0
pata,1,0.0
Kailash,1,0.0
4F,1,0.0
Access,1,0.0
NiaJ,1,0.0
fcr,1,0.0
W7L,1,0.0
BZXH,1,0.0
TID,1,0.0
LPMC1,1,0.0
kred,1,0.0
Cre,1,0.0
Load Dig,1,0.0
c1c,1,0.0
Pres,1,0.0
ggx,1,0.0
zXVv,1,0.0
gQ,1,0.0
86VP,1,0.0
YSaea,1,0.0
lq,1,0.0
aivhw,1,0.0
wo4,1,0.0
ZIC,1,0.0
VSX1,1,0.0
9yzm,1,0.0
Herm,1,0.0
Vidu,1,0.0
sz,1,0.0
hshs,1,0.0
6fpj,1,0.0
sana,1,0.0
ih8V,1,0.0
P201681,1,0.0
k9dm,1,0.0
Entr,1,0.0
rohi,1,0.0
970,1,0.0
Cak,1,0.0
9g9s,1,0.0
aYf8,1,0.0
supa,1,0.0
SYYP,1,0.0
eEz,1,0.0
basw,1,0.0
Be0,1,0.0
TARU,1,0.0
6M19,1,0.0
P20498,1,0.0
basa,1,0.0
zJ,1,0.0
cy07,1,0.0
b58,1,0.0
Avdh,1,0.0
koth,1,0.0
uog7,1,0.0
zKom,1,0.0
Sela,1,0.0
dudi,1,0.0
6880,1,0.0
Yd,1,0.0
RD,1,0.0
622s8,1,0.0
5x80,1,0.0
pfja,1,0.0
J859,1,0.0
Skru,1,0.0
15dt,1,0.0
hMYy,1,0.0
Meat,1,0.0
khadv,1,0.0
50zh,1,0.0
12t,1,0.0
9sx,1,0.0
DrCW,1,0.0
wwXk,1,0.0
YyfB,1,0.0
SR42,1,0.0
Mith,1,0.0
dFVM,1,0.0
igqe,1,0.0
Vd,1,0.0
9E,1,0.0
Z7ia,1,0.0
Nave,1,0.0
Lath,1,0.0
8M,1,0.0
MSW0,1,0.0
6hq,1,0.0
000AR,1,0.0
13bj,1,0.0
HAj4,1,0.0
INVJ3U1,1,0.0
Kota,1,0.0
5aeq,1,0.0
1259,1,0.0
kI,1,0.0
Clin,1,0.0
lic,1,0.0
HZbb,1,0.0
ben,1,0.0
3qq8ky,1,0.0
gshe,1,0.0
Amr,1,0.0
PFHd,1,0.0
4024,1,0.0
C12G,1,0.0
crjt,1,0.0
qG0a,1,0.0
67n3,1,0.0
8ss20,1,0.0
vr25,1,0.0
trav,1,0.0
W4,1,0.0
6555,1,0.0
SPX9,1,0.0
Shad,1,0.0
Bijl,1,0.0
VYE4,1,0.0
blan,1,0.0
Mik,1,0.0
Back,1,0.0
c9d,1,0.0
NzFU,1,0.0
0u,1,0.0
P2016508,1,0.0
P4T69,1,0.0
2s3F,1,0.0
64bf,1,0.0
SRe2,1,0.0
hani,1,0.0
chkn,1,0.0
eyyj,1,0.0
jaye,1,0.0
0d9,1,0.0
SR10,1,0.0
0000J,1,0.0
item,1,0.0
tsmv,1,0.0
650o,1,0.0
14gk,1,0.0
csv9,1,0.0
iy,1,0.0
Take,1,0.0
Mandat,1,0.0
gvxh,1,0.0
MMO3,1,0.0
Ab m,1,0.0
KCnN,1,0.0
jays,1,0.0
ITR FILE,1,0.0
4kej,1,0.0
nlqt,1,0.0
mOD2,1,0.0
u2,1,0.0
JCO,1,0.0
iv1,1,0.0
1st of,1,0.0
hd A,1,0.0
nte,1,0.0
q1nT,1,0.0
0U,1,0.0
taek,1,0.0
deJ7,1,0.0
c6wn,1,0.0
1otl,1,0.0
18b,1,0.0
vina,1,0.0
till,1,0.0
hssu,1,0.0
9alr8,1,0.0
VD,1,0.0
ac7,1,0.0
2E,1,0.0
8cyu,1,0.0
8728,1,0.0
5m44,1,0.0
Cop,1,0.0
mx6oXW8,1,0.0
Deco,1,0.0
amim,1,0.0
IKz,1,0.0
aA,1,0.0
P20218,1,0.0
66m,1,0.0
RlfUB,1,0.0
LVN,1,0.0
BEG,1,0.0
003,1,0.0
mWxm,1,0.0
Adho,1,0.0
uj,1,0.0
Lgga,1,0.0
qlLV,1,0.0
Kano,1,0.0
G8bZ,1,0.0
ALLA,1,0.0
MmZF,1,0.0
P203108,1,0.0
7m9h,1,0.0
JnocP,1,0.0
shub,1,0.0
0010U,1,0.0
Poah,1,0.0
cho,1,0.0
AMT,1,0.0
emi m,1,0.0
vjc,1,0.0
Conf,1,0.0
B7g9,1,0.0
wSZ,1,0.0
oI,1,0.0
Aloo,1,0.0
Jqk,1,0.0
Hath,1,0.0
P2012,1,0.0
NES,1,0.0
000IE,1,0.0
b521,1,0.0
bikki,1,0.0
nEz,1,0.0
LXP8,1,0.0
Waq,1,0.0
09ceUC,1,0.0
zPr,1,0.0
U14,1,0.0
fulo,1,0.0
YD,1,0.0
godr,1,0.0
b44,1,0.0
csgl,1,0.0
P2065436,1,0.0
qJQb,1,0.0
Tae,1,0.0
RRwk,1,0.0
vips,1,0.0
arihant,1,0.0
5k3j,1,0.0
cxmy,1,0.0
flax,1,0.0
DB6Z,1,0.0
z2,1,0.0
gq,1,0.0
SR0f,1,0.0
kng,1,0.0
BJw4,1,0.0
Emba,1,0.0
chot,1,0.0
7CK4,1,0.0
6kiZ,1,0.0
bAl3,1,0.0
hnl0,1,0.0
9kxm,1,0.0
4600,1,0.0
7mAw,1,0.0
aka,1,0.0
uXB7,1,0.0
6i95v,1,0.0
ifs,1,0.0
XZrS,1,0.0
udh6,1,0.0
loaf,1,0.0
0ZF,1,0.0
Awga,1,0.0
3Vpe,1,0.0
66K,1,0.0
magn,1,0.0
0024,1,0.0
fy,1,0.0
Bijli,1,0.0
0054V,1,0.0
Mk h,1,0.0
4G1V,1,0.0
acco,1,0.0
Nkz,1,0.0
sB,1,0.0
xb,1,0.0
SPX6,1,0.0
a222,1,0.0
Biju,1,0.0
DG,1,0.0
eid,1,0.0
Og,1,0.0
690k,1,0.0
yBB5,1,0.0
Tonn,1,0.0
3e1n,1,0.0
TXNV,1,0.0
Qd,1,0.0
6999M,1,0.0
HEQL,1,0.0
Bloo,1,0.0
MM3M,1,0.0
LyW2,1,0.0
P20574,1,0.0
P20515,1,0.0
NpZ3,1,0.0
0iVi,1,0.0
rJ,1,0.0
21s2,1,0.0
B0s,1,0.0
pati,1,0.0
m9ld,1,0.0
lI,1,0.0
TXNR5,1,0.0
SWWH,1,0.0
WVrm,1,0.0
KZfx,1,0.0
Dil,1,0.0
pZ,1,0.0
xr9ydxn,1,0.0
gun,1,0.0
a5c1,1,0.0
doLY,1,0.0
YTp,1,0.0
tes,1,0.0
9llx,1,0.0
66x4,1,0.0
Annu,1,0.0
Deva,1,0.0
bear,1,0.0
Ahg,1,0.0
Tere,1,0.0
Mome,1,0.0
65tw,1,0.0
521,1,0.0
FW,1,0.0
elan,1,0.0
6m5,1,0.0
NMv046,1,0.0
mDEr1,1,0.0
y2,1,0.0
Musu,1,0.0
yPJJ,1,0.0
Usac,1,0.0
NEVC,1,0.0
IbC,1,0.0
4kIT,1,0.0
gvsb,1,0.0
2360,1,0.0
pOpY,1,0.0
Rhit,1,0.0
Jal,1,0.0
72q7d,1,0.0
hapt,1,0.0
c7vd4,1,0.0
FhQn,1,0.0
Y6B7,1,0.0
P20697,1,0.0
jame,1,0.0
ffg,1,0.0
6bs,1,0.0
NbCm,1,0.0
5kgg,1,0.0
J1zo,1,0.0
tz,1,0.0
kWM,1,0.0
EGV,1,0.0
Yv0,1,0.0
wSh,1,0.0
qJ2,1,0.0
bol,1,0.0
000MV,1,0.0
TID5,1,0.0
cuk8,1,0.0
Eb b,1,0.0
kYhgd,1,0.0
0M,1,0.0
Now,1,0.0
juse,1,0.0
hap,1,0.0
ZMDhb,1,0.0
vj,1,0.0
hK8k,1,0.0
Plw,1,0.0
PbPj,1,0.0
9md,1,0.0
OPGu,1,0.0
PFat,1,0.0
kmn,1,0.0
000UI,1,0.0
IWQ,1,0.0
bA,1,0.0
adra,1,0.0
QtRw,1,0.0
kata,1,0.0
NSMZ,1,0.0
AVI,1,0.0
MRgC,1,0.0
Traf,1,0.0
0274,1,0.0
Spar,1,0.0
usus,1,0.0
SVrm,1,0.0
hI,1,0.0
di78,1,0.0
91mn,1,0.0
MMNF,1,0.0
Tl,1,0.0
0m,1,0.0
Kapr,1,0.0
XGTg,1,0.0
Cano,1,0.0
Hotw,1,0.0
Kg,1,0.0
kadun aa,1,0.0
P20357,1,0.0
ugdl,1,0.0
qfi,1,0.0
ZkIG,1,0.0
Yymd,1,0.0
P20395,1,0.0
o9B,1,0.0
Scor,1,0.0
1e,1,0.0
LgyP,1,0.0
aikk,1,0.0
Sudh,1,0.0
DuWx,1,0.0
wtg0,1,0.0
r6ts,1,0.0
ride,1,0.0
cptr,1,0.0
P202804,1,0.0
wB,1,0.0
4g94l,1,0.0
SPMwoJwD,1,0.0
ATah,1,0.0
MATE,1,0.0
Utta,1,0.0
kani,1,0.0
Cer,1,0.0
R1e,1,0.0
Anus,1,0.0
cyd,1,0.0
3600,1,0.0
54bp,1,0.0
PVC p,1,0.0
khas,1,0.0
AC2J,1,0.0
Equi,1,0.0
T4,1,0.0
P203940,1,0.0
Wt,1,0.0
kl3,1,0.0
hY5b,1,0.0
7373M,1,0.0
pune,1,0.0
P20089,1,0.0
jd3,1,0.0
IqWF,1,0.0
cx3i,1,0.0
B2b,1,0.0
5ct0,1,0.0
MDy,1,0.0
3103,1,0.0
TDBA,1,0.0
Suka,1,0.0
jgn7,1,0.0
Kund,1,0.0
Narp,1,0.0
0Vzx,1,0.0
MylN,1,0.0
hb98,1,0.0
M454u,1,0.0
HBD,1,0.0
NPbo,1,0.0
001PN,1,0.0
B8or,1,0.0
3NjW,1,0.0
w9qr,1,0.0
lun,1,0.0
eY,1,0.0
SHIV,1,0.0
Mysh,1,0.0
ixo,1,0.0
0vpe,1,0.0
axfl7,1,0.0
NP50UJ,1,0.0
bihgro,1,0.0
Extra,1,0.0
sukh,1,0.0
i ph,1,0.0
Saty,1,0.0
attv,1,0.0
conv,1,0.0
Aaml,1,0.0
Xt,1,0.0
09ma,1,0.0
7U,1,0.0
MPMCA,1,0.0
3a8,1,0.0
Fw,1,0.0
NWZh,1,0.0
Bgp5,1,0.0
iUi,1,0.0
di66,1,0.0
QD,1,0.0
XfVZ,1,0.0
ciga,1,0.0
1204,1,0.0
2HRC,1,0.0
Dg,1,0.0
P20762,1,0.0
mummy,1,0.0
Ubai,1,0.0
Dr A,1,0.0
force,1,0.0
fA,1,0.0
God,1,0.0
0001U,1,0.0
P200447,1,0.0
nikk,1,0.0
Arso,1,0.0
ScaY,1,0.0
i8t3,1,0.0
Fari,1,0.0
55eu,1,0.0
physio,1,0.0
1758,1,0.0
djkc,1,0.0
ct8g,1,0.0
Gadd,1,0.0
ami,1,0.0
729r,1,0.0
Shrug,1,0.0
TT7L,1,0.0
stqc,1,0.0
6606,1,0.0
hetc,1,0.0
kurm,1,0.0
7905,1,0.0
mahad,1,0.0
DN1,1,0.0
635,1,0.0
3auX,1,0.0
75SE,1,0.0
close,1,0.0
rL,1,0.0
BKT,1,0.0
d8t,1,0.0
fsgs,1,0.0
43ye,1,0.0
Visi,1,0.0
lO,1,0.0
cabs,1,0.0
scDv,1,0.0
djxj,1,0.0
rLIlc,1,0.0
Bisw,1,0.0
Pump,1,0.0
BJzn,1,0.0
D8Ma,1,0.0
HnX1,1,0.0
kosa,1,0.0
xd,1,0.0
Mata,1,0.0
8vb5,1,0.0
lKRI,1,0.0
KBL,1,0.0
Gufr,1,0.0
PuJR,1,0.0
Oa,1,0.0
9eMm,1,0.0
anil,1,0.0
Ston,1,0.0
4YS,1,0.0
czua,1,0.0
Dyg6,1,0.0
Gtpl,1,0.0
FQ,1,0.0
thit,1,0.0
Set,1,0.0
bre,1,0.0
Kabu,1,0.0
XR,1,0.0
P2005360,1,0.0
CBRS,1,0.0
dw,1,0.0
R2SU,1,0.0
space A,1,0.0
Md A,1,0.0
pula,1,0.0
SQSNW,1,0.0
2TF,1,0.0
toy,1,0.0
bak,1,0.0
PbHJ,1,0.0
fqb2,1,0.0
50K,1,0.0
majl,1,0.0
x4p,1,0.0
Rz,1,0.0
V6Kx,1,0.0
110,1,0.0
mil,1,0.0
O9,1,0.0
Anwa,1,0.0
UpRl,1,0.0
98oo,1,0.0
emam,1,0.0
BgKO,1,0.0
Ly,1,0.0
7yu5,1,0.0
P20169,1,0.0
Seda,1,0.0
w6zd,1,0.0
bick,1,0.0
tkt,1,0.0
X5AW,1,0.0
YLTS,1,0.0
HY,1,0.0
Cy,1,0.0
lSpJ,1,0.0
wUh,1,0.0
VZ,1,0.0
uep1o,1,0.0
50mb,1,0.0
ZJV,1,0.0
0000O,1,0.0
NO DUES,1,0.0
cal,1,0.0
SR3c,1,0.0
TV R,1,0.0
WGYP,1,0.0
D5gF,1,0.0
Cent,1,0.0
Vc J,1,0.0
P2070740,1,0.0
cgj2,1,0.0
P20154,1,0.0
4o3wx,1,0.0
Qv73,1,0.0
cack,1,0.0
lik,1,0.0
OK63oJy,1,0.0
R6i,1,0.0
kw,1,0.0
P20196,1,0.0
SRbc,1,0.0
P20640,1,0.0
Brek,1,0.0
c5f,1,0.0
P20682,1,0.0
1448,1,0.0
cjv,1,0.0
purs,1,0.0
UPI2,1,0.0
heen,1,0.0
98nw,1,0.0
0dce8,1,0.0
if1d,1,0.0
62lx,1,0.0
Pens,1,0.0
Ai,1,0.0
Aap,1,0.0
JI,1,0.0
TJ,1,0.0
1983,1,0.0
9cEb,1,0.0
Bad,1,0.0
cO,1,0.0
KEz,1,0.0
doc,1,0.0
b514,1,0.0
vl,1,0.0
Anis,1,0.0
cyx,1,0.0
P20248,1,0.0
3c08,1,0.0
9u7i,1,0.0
math,1,0.0
vedio,1,0.0
BRj,1,0.0
viv,1,0.0
81rjj,1,0.0
bE7,1,0.0
Blb,1,0.0
pg1J,1,0.0
YySR,1,0.0
D8Y6,1,0.0
DUcS,1,0.0
sQ4,1,0.0
wSt,1,0.0
3cd,1,0.0
B5k8,1,0.0
X8Qwsl,1,0.0
Ere32,1,0.0
tab,1,0.0
61u,1,0.0
6iMp,1,0.0
45k,1,0.0
appa,1,0.0
P20494,1,0.0
RWS6,1,0.0
235,1,0.0
b9ox,1,0.0
XWPN,1,0.0
P204360,1,0.0
K9,1,0.0
kh9H,1,0.0
Vz,1,0.0
cofy,1,0.0
P204950,1,0.0
Jun,1,0.0
Urd,1,0.0
hrb,1,0.0
OjhZ,1,0.0
kaha,1,0.0
4aa,1,0.0
RkQ0,1,0.0
kW,1,0.0
d613,1,0.0
xtpm,1,0.0
P202888,1,0.0
c t,1,0.0
tula,1,0.0
YMH2,1,0.0
12fj,1,0.0
16f20b9,1,0.0
Khic,1,0.0
2r8Y,1,0.0
8S,1,0.0
490,1,0.0
cwr7,1,0.0
4f6c3d3,1,0.0
Ledi,1,0.0
2c2,1,0.0
Samm,1,0.0
4d48,1,0.0
ow,1,0.0
BQw,1,0.0
dW,1,0.0
4el,1,0.0
Liqc,1,0.0
8127,1,0.0
5f7a,1,0.0
byjc,1,0.0
UMtm,1,0.0
Fq,1,0.0
Sk f,1,0.0
Stee,1,0.0
zodj,1,0.0
59rid3,1,0.0
2wma,1,0.0
LY,1,0.0
9284,1,0.0
Sarg,1,0.0
amer s,1,0.0
B3cC,1,0.0
FYjj,1,0.0
5lev,1,0.0
XYU862,1,0.0
0RGs,1,0.0
Inst,1,0.0
d9x,1,0.0
7khq,1,0.0
aef5,1,0.0
SR8f,1,0.0
ECG,1,0.0
gJD5,1,0.0
Ples,1,0.0
6fb,1,0.0
c7g9,1,0.0
Gen,1,0.0
AH S,1,0.0
55cG,1,0.0
4K,1,0.0
000LX,1,0.0
cahn,1,0.0
60fvvl,1,0.0
Chiz,1,0.0
gur,1,0.0
Cove,1,0.0
priv,1,0.0
Zb,1,0.0
03Pz,1,0.0
bgw,1,0.0
5qkzjd,1,0.0
MMq0,1,0.0
cp29,1,0.0
OT A,1,0.0
cto7,1,0.0
fG,1,0.0
SR77,1,0.0
pquB,1,0.0
4k9g,1,0.0
4map,1,0.0
13el,1,0.0
hLo7,1,0.0
5ord,1,0.0
RREoY,1,0.0
63uv,1,0.0
Dy,1,0.0
Alle,1,0.0
Kuma,1,0.0
559w,1,0.0
ddfg,1,0.0
QZ,1,0.0
P201904,1,0.0
nIl,1,0.0
75M,1,0.0
psLf,1,0.0
Bred,1,0.0
EA0Z,1,0.0
OSu5,1,0.0
sahi,1,0.0
ju4a,1,0.0
tqe,1,0.0
000C1,1,0.0
Eq,1,0.0
Dent,1,0.0
rona,1,0.0
XvaG,1,0.0
yT,1,0.0
o7,1,0.0
k2Pb,1,0.0
LAQ,1,0.0
ceoj,1,0.0
Kurk,1,0.0
va4,1,0.0
4YuW,1,0.0
6ees,1,0.0
0ecd,1,0.0
P20399,1,0.0
Kph5,1,0.0
Y0e6,1,0.0
000SD,1,0.0
eG,1,0.0
P203099,1,0.0
NKQJeu,1,0.0
UPVC,1,0.0
9uyl,1,0.0
dash,1,0.0
Staf,1,0.0
mod,1,0.0
6d33z,1,0.0
Quali,1,0.0
budv,1,0.0
Den,1,0.0
9NLr,1,0.0
Piku,1,0.0
5yf,1,0.0
MI,1,0.0
2hmb,1,0.0
mota,1,0.0
madr,1,0.0
gdbd,1,0.0
Nnwn,1,0.0
P200840,1,0.0
dO,1,0.0
sowe,1,0.0
59r,1,0.0
PZWV,1,0.0
Tz1w,1,0.0
ngga,1,0.0
bota,1,0.0
Ken,1,0.0
HfA,1,0.0
Kwf1,1,0.0
Ii,1,0.0
uL,1,0.0
000R,1,0.0
5p98,1,0.0
Gaga,1,0.0
luckn,1,0.0
Zth6,1,0.0
gJig,1,0.0
